"Slides","Slajdy"
"Manage Slides","Zarządzaj slajdami"
"Manage Areas","Zarządzaj obszarami"
"Edit slide '%s'","Edycja slajdu '%s'"
"Primary settings","Podstawowe ustawienia"
"Additional options","Dodatkowe opcje"
"Slide assignment", "Przyporządkowanie slajdu"
"Open in", "Otwórz w"
"Same window", "Tym samym oknie"
"New window", "Nowym oknie"
"Transition time","Czas wyświetlania"
"In miliseconds e.g. 1s = 1000","W milisekundach, 1s = 1000"
"Define New Area", "Zdefiniuj nowy obszar"
"Image","Obraz"
"Image (mobile)","Obraz (na telefony")
"Possible replacement for mobiles","Możliwy zamiennik dla urządzeń mobilnych"
